;Nome;Saldo0;Referencias;Data0;Excedente1;Data2;Excedente3;Data4;Excedente5;Data6;Excedente7;Data8;Excedente9;Data10;Excedente11
140;LM CONCRETE OFF WHITE MT120X120R;;FOK01MH021 ; 30/11/2022 ; 51,30 M2; 31/10/2022 ; 75,52 M2; 31/07/2022 ; 55,58 M2;;;;;;
141;LM CONCRETE GREIGE MT 120X120 R;"Armazem
39,90";FOK01MH041 ; 30/11/2022 ; 146,78 M2; 31/10/2022 ; 58,42 M2; 31/07/2022 ; 31,35 M2;;;;;;
142;LM CONCRETE GRAY MT 120X120 R;"Armazem
76,95";FOK02E8021 ; 30/11/2022 ; 229,42 M2; 31/10/2022 ; 35,62 M2; 31/07/2022 ; 18,52 M2;;;;;;
143;LM CONCRETE OFF WHITE MC120X250R;"Armazem
1465,10";FOK02HM021 ;;;;;;;;;;;;
144;LM CONCRETE GREIGE MC 120X250R;"Armazem
1061,45";FOK02HM041 ;;;;;;;;;;;;
145;LM CONCRETE GRAY MC 120X250 R;"Armazem
600,99";FOK02HS021 ;;;;;;;;;;;;
146;LM CONCRETE OFF WHITE MC120X120R;"Armazem
99,75";FOK02MH021 ; 30/11/2022 ; 1131,45 M2; 30/09/2022 ; 381,90 M2; 31/08/2022 ; 470,25 M2;;;;;;
147;LM CONCRETE GREIGE MC 120X120 R;;FOK02MH041 ; 30/11/2022 ; 1496,25 M2; 30/09/2022 ; 176,70 M2; 31/08/2022 ; 19,95 M2;;;;;;
148;CONCRETE OFF WHITE ABS 120X120 R;;FOK03E8011 ; 31/10/2022 ; 723,90 M2;;;;;;;;;;
149;LM CONCRETE GRAY ABS 120X120 R;"Armazem
65,55";FOK03E8021 ; 30/11/2022 ; 2456,70 M2; 31/10/2022 ; 35,62 M2; 31/07/2022 ; 61,28 M2;;;;;;
150;LM CONCRETE GREIGE ABS 120X120 R;"Armazem
25,65";FOK03E8GG1 ; 30/11/2022 ; 310,65 M2; 31/07/2022 ; 48,45 M2; 22/05/2022 ; 34,20 M2;;;;;;
151;Não encontrado;;FOK04E8021 ;;;;;;;;;;;;
152;Não encontrado;;FOK05E8021 ;;;;;;;;;;;;
153;PT ARDOSIA GRAFITE MT 60X120 R;"Armazem
5,76";FOR0154101 ; 10/06/2022 ; 1383,84 M2;;;;;;;;;;
154;PT ARDOSIA GRAFITE ABS 60X120R;"Armazem
1051,20";FOS0254101 ;;;;;;;;;;;;
155;RV MONDRIAN WHITE ICE BR7,7X15,4;"Armazem
8267,70";FOT011S011 ;;;;;;;;;;;;
156;RV MONDRIAN GRAY BR 7,7X15,4;"Armazem
1009,98";FOT011S021 ;;;;;;;;;;;;
157;RV MONDRIAN BLACK BR 7,7X15,4;"Armazem
2025,54";FOT011S161 ;;;;;;;;;;;;
158;RV MONDRIAN WHITE ICE MT7,7X15,4;"Armazem
2593,77";FOT021S011 ;;;;;;;;;;;;
159;RV MONDRIAN GRAY MT 7,7X15,4;"Armazem
1542,87";FOT021S021 ;;;;;;;;;;;;
160;RV MONDRIAN BLACK MT 7,7X15,4;"Armazem
1349,43";FOT021S161 ;;;;;;;;;;;;
161;PP LONDON TRACE GRAY MT 30X60 R;"Armazem
221,40";FPB0157021 ;;;;;;;;;;;;
162;PP LONDON GRAY ABS 90X90 R;;FPB019B021 ; 08/06/2022 ; 153,60 M2;;;;;;;;;;
163;PP LONDON GRAY MT 90X90 R;;FPB029B021 ; 26/06/2022 ; 56,00 M2; 08/06/2022 ; 66,40 M2;;;;;;;;
164;PE LONDON GRAY POL 90X90 R;"Armazem
56,00";FPB039B021 ; 13/07/2022 ; 782,40 M2;;;;;;;;;;
165;PP WESTWOOD BROWN ABS 20X120 R;"Armazem
796,92";FPC01C5251 ;;;;;;;;;;;;
166;PP WESTWOOD BROWN MT 20X120 R;"Armazem
624,08";FPC02C5251 ;;;;;;;;;;;;
167;PP WESTWOOD NATURAL MT 20X120 R;"Armazem
437,32";FPC02C5NT1 ;;;;;;;;;;;;
168;PS ARTISAN ANTRACITA MT 20X20;"Armazem
118,00";FPF01MB021 ;;;;;;;;;;;;
169;PS ARTISAN GRIS MT 20X20;"Armazem
201,78";FPF02MB021 ;;;;;;;;;;;;
170;PS QUILT MT 20X20;"Armazem
621,86";FPJ01FY991 ;;;;;;;;;;;;
171;LM STATUARIO ST 100X200;"Armazem
372";FPK01ZF011 ;;;;;;;;;;;;
172;LM STATUARIO MC 100X200;"Armazem
1418";FPK02ZF011 ;;;;;;;;;;;;
173;PP CARVE STEEL 30X60 R;"Armazem
1123,20";FPM0157021 ;;;;;;;;;;;;
174;PP TRACE STEEL 30X60 R;"Armazem
1152,00";FPP0157021 ;;;;;;;;;;;;
175;LM ATHEA MC 120X120 R;;FRV01E8041 ; 30/11/2022 ; 1,42 M2; 31/08/2022 ; 85,50 M2; 31/08/2022 ; 106,88 M2;;;;;;
176;LM ATHEA ST 120X120 R;"Armazem
11,40";FRV02E8041 ; 30/11/2022 ; 58,42 M2; 30/09/2022 ; 18,52 M2; 31/07/2022 ; 82,65 M2; 31/07/2022 ; 1,42 M2;;;;
177;PE CUBIT GRIS POL 90X90 R;"Armazem
41,60";FYF019B021 ; 29/05/2022 ; 747,20 M2;;;;;;;;;;
178;PP CUBIT GRIS MT 90X90 R;;FYF029B021 ; 30/09/2022 ; 103,20 M2; 21/06/2022 ; 277,60 M2;;;;;;;;
179;PP CUBIT GRIS ABS 90X90 R;;FYF039B021 ; 30/11/2022 ; 1511,20 M2; 31/08/2022 ; 312,80 M2; 22/06/2022 ; 39,20 M2;;;;;;
180;Não encontrado;;FYF049B021 ;;;;;;;;;;;;
181;RV ART LAZULI 15X15;"Armazem
817,38";FYN0139151 ;;;;;;;;;;;;
182;RV BISOTE BLANCO 7,7X15,4;"Armazem
19436,07";FYO01GQ011 ;;;;;;;;;;;;
183;RV BISOTE NEGRO 7,7X15,4;"Armazem
11410,17";FYO03GQ161 ;;;;;;;;;;;;
184;PP ARTISAN GRIS MT 90X90 R;"Armazem
12,80";FZ1019B021 ; 31/10/2022 ; 384,80 M2; 30/09/2022 ; 5,60 M2; 31/08/2022 ; 39,20 M2; 31/07/2022 ; 12,80 M2; 25/06/2022 ; 11,20 M2; 10/06/2022 ; 10,40 M2
185;PP ARTISAN ANTRACITA MT 90X90 R;"Armazem
355,20";FZ1019B101 ; 30/09/2022 ; 413,60 M2; 22/06/2022 ; 29,60 M2; 06/06/2022 ; 1,60 M2;;;;;;
186;PP ARTISAN GRIS ABS 90X90 R;;FZ1039B021 ; 22/06/2022 ; 39,20 M2; 06/06/2022 ; 12,80 M2; 31/12/2022 ; 2074,40 M2; 30/09/2022 ; 89,60 M2;;;;
187;PP ARTISAN ANTRACITA ABS 90X90 R;"Armazem
347,20";FZ1039B101 ; 31/10/2022 ; 2285,60 M2; 31/08/2022 ; 448,00 M2;;;;;;;;
188;LM DUBLIN GREIGE MT 60X120 R;"Armazem
1028,79";FZ20154021 ;;;;;;;;;;;;
189;LM DUBLIN GREIGE MC 60X120 R;"Armazem
1073,52";FZ20254021 ;;;;;;;;;;;;
190;PP BRICK LITHUS BLACK 7,5X30;"Armazem
178,50";FZD0157161 ;;;;;;;;;;;;
191;PP LITHUS BLACK MT 90X90 R;;FZD019B161 ; 08/06/2022 ; 1480,00 M2;;;;;;;;;;
192;PP LITHUS BLACK ABS 90X90 R;;FZD029B161 ; 30/09/2022 ; 1230,40 M2;;;;;;;;;;
193;LM RUPESTRE GRAY MT 120X120 R;"Armazem
5,70";FZG01E8021 ; 30/11/2022 ; 54,15 M2; 31/07/2022 ; 48,45 M2;;;;;;;;
194;LM RUPESTRE GRAY MC 120X120 R;;FZG02E8021 ; 30/11/2022 ; 1131,45 M2; 31/08/2022 ; 228,00 M2;;;;;;;;
195;INS MARROCOS GARDEN MT 30X90,2 R;"Armazem
308,88";FZH01AW161 ;;;;;;;;;;;;
196;INS MARROCOS ANTRACITAMT30X90,2R;;FZH02AW151 ; 04/06/2022 ; 1740,15 M2;;;;;;;;;;
197;LM KORONIS WHITE MC 60X120 R;"Armazem
6,39";FZO0154011 ; 31/08/2022 ; 39,05 M2; 13/06/2022 ; 76,68 M2;;;;;;;;
198;LM KORONIS EXT WH MC 120X120 R;;FZO01E8011 ; 30/11/2022 ; 310,65 M2; 31/08/2022 ; 162,45 M2; 31/08/2022 ; 178,12 M2;;;;;;
199;LM KORONIS WHITE MT 120X250R;"Armazem
161,46";FZO01HM011 ;;;;;;;;;;;;
200;LM KORONIS WHITE MC 100X200 R;;FZO01ZF011 ; 28/06/2022 ; 72 M2;;;;;;;;;;
201;LM KORONIS WHITE MT 60X120 R;"Armazem
42,60";FZO0254011 ; 31/08/2022 ; 80,94 M2; 05/06/2022 ; 10,65 M2;;;;;;;;
202;LM KORONIS EXT WH MT 120X120 R;"Armazem
2838,60";FZO02E8011 ; 30/11/2022 ; 418,95 M2;;;;;;;;;;
203;LM KORONIS WHITE MC 120X250R;;FZO02HM011 ; 22/06/2022 ; 765,44 M2;;;;;;;;;;
204;PP MADERO CANARY 20X120 R;"Armazem
1008,04";OP01HA251 ; 22/06/2022 ; 1532,13 M2;;;;;;;;;;
205;PP MADERO AMBAR ABS 20X120 R;"Armazem
17,40";OP02HA251 ; 22/06/2022 ; 1949,73 M2;;;;;;;;;;
206;RV ART SOUL 15,4 X 15,4;"Armazem
189";YN012ZMC1 ;;;;;;;;;;;;
207;RV ART TWEED 15,4 X15,4;"Armazem
2475";YN022ZMC1 ;;;;;;;;;;;;
